Datetime,Close,High,Low,Open,Volume,Symbol
2025-11-17 14:30:00+00:00,267.9400939941406,269.3599853515625,267.6600036621094,268.7200012207031,3047045,AAPL
2025-11-17 14:31:00+00:00,267.4599914550781,268.0799865722656,267.0,267.9414978027344,381795,AAPL
2025-11-17 14:32:00+00:00,268.25,268.3399963378906,267.29998779296875,267.4100036621094,227990,AAPL
2025-11-17 14:33:00+00:00,267.9891052246094,268.7699890136719,267.8599853515625,268.2550048828125,198866,AAPL
2025-11-17 14:34:00+00:00,267.54901123046875,267.8800048828125,267.260009765625,267.8800048828125,173896,AAPL
2025-11-17 14:35:00+00:00,267.80999755859375,267.92999267578125,267.2449951171875,267.6099853515625,144985,AAPL
2025-11-17 14:36:00+00:00,267.8999938964844,268.07000732421875,267.7300109863281,267.864990234375,199314,AAPL
2025-11-17 14:37:00+00:00,268.3399963378906,268.4200134277344,267.8399963378906,267.8891906738281,164299,AAPL
2025-11-17 14:38:00+00:00,268.5950012207031,268.85321044921875,268.2799987792969,268.3399963378906,145836,AAPL
2025-11-17 14:39:00+00:00,268.4599914550781,268.7298889160156,268.21881103515625,268.5950012207031,96608,AAPL
2025-11-17 14:40:00+00:00,268.6400146484375,268.94000244140625,268.4649963378906,268.4649963378906,113362,AAPL
2025-11-17 14:41:00+00:00,268.76580810546875,268.92498779296875,268.5400085449219,268.6400146484375,115366,AAPL
2025-11-17 14:42:00+00:00,269.010009765625,269.04998779296875,268.510009765625,268.7799987792969,106887,AAPL
2025-11-17 14:43:00+00:00,269.5799865722656,269.69000244140625,269.0,269.0299987792969,169167,AAPL
2025-11-17 14:44:00+00:00,269.3999938964844,269.6050109863281,269.14898681640625,269.590087890625,123437,AAPL
2025-11-17 14:45:00+00:00,269.4750061035156,269.6499938964844,269.2099914550781,269.3800048828125,93822,AAPL
2025-11-17 14:46:00+00:00,269.7799987792969,269.797607421875,269.3299865722656,269.4700012207031,83119,AAPL
2025-11-17 14:47:00+00:00,269.6600036621094,270.06500244140625,269.6600036621094,269.7601013183594,112525,AAPL
2025-11-17 14:48:00+00:00,269.25,269.6675109863281,269.1000061035156,269.6600036621094,90053,AAPL
2025-11-17 14:49:00+00:00,269.67999267578125,269.7698974609375,269.25,269.25,66106,AAPL
2025-11-17 14:50:00+00:00,269.9599914550781,269.9800109863281,269.6199951171875,269.6700134277344,73131,AAPL
2025-11-17 14:51:00+00:00,270.239990234375,270.2598876953125,269.8699951171875,269.94000244140625,96131,AAPL
2025-11-17 14:52:00+00:00,270.1050109863281,270.239990234375,270.0199890136719,270.2200012207031,106475,AAPL
2025-11-17 14:53:00+00:00,270.3399963378906,270.3587951660156,269.989990234375,270.1050109863281,85448,AAPL
2025-11-17 14:54:00+00:00,270.1340026855469,270.3599853515625,270.04998779296875,270.3599853515625,106831,AAPL
2025-11-17 14:55:00+00:00,270.2300109863281,270.489990234375,270.1199951171875,270.1199951171875,154465,AAPL
2025-11-17 14:56:00+00:00,270.1300048828125,270.3999938964844,270.0,270.2099914550781,81856,AAPL
2025-11-17 14:57:00+00:00,270.0101013183594,270.1700134277344,269.8599853515625,270.1300048828125,81032,AAPL
2025-11-17 14:58:00+00:00,269.989990234375,270.0899963378906,269.75,270.0299987792969,82312,AAPL
2025-11-17 14:59:00+00:00,270.0400085449219,270.1000061035156,269.79998779296875,269.989990234375,78627,AAPL
2025-11-17 15:00:00+00:00,270.0,270.125,269.9100036621094,270.010009765625,66016,AAPL
2025-11-17 15:01:00+00:00,270.07000732421875,270.32000732421875,269.92999267578125,269.95001220703125,49395,AAPL
2025-11-17 15:02:00+00:00,270.05499267578125,270.260009765625,270.0,270.1300048828125,56724,AAPL
2025-11-17 15:03:00+00:00,269.69000244140625,270.1300048828125,269.6700134277344,270.0400085449219,130808,AAPL
2025-11-17 15:04:00+00:00,269.42041015625,269.70001220703125,269.3900146484375,269.6600036621094,92446,AAPL
2025-11-17 15:05:00+00:00,269.7099914550781,269.7099914550781,269.3699951171875,269.45001220703125,42562,AAPL
2025-11-17 15:06:00+00:00,269.7099914550781,269.8399963378906,269.5545959472656,269.7200012207031,45896,AAPL
2025-11-17 15:07:00+00:00,269.4700012207031,269.7099914550781,269.239990234375,269.7099914550781,46733,AAPL
2025-11-17 15:08:00+00:00,269.1300048828125,269.4800109863281,269.07830810546875,269.4800109863281,61497,AAPL
2025-11-17 15:09:00+00:00,269.1061096191406,269.260009765625,269.0419921875,269.1400146484375,44755,AAPL
2025-11-17 15:10:00+00:00,268.8699951171875,269.29998779296875,268.8371887207031,269.17999267578125,80605,AAPL
2025-11-17 15:11:00+00:00,269.3599853515625,269.4800109863281,268.8399963378906,268.8599853515625,64301,AAPL
2025-11-17 15:12:00+00:00,269.6700134277344,269.7200012207031,269.31170654296875,269.3699035644531,42965,AAPL
2025-11-17 15:13:00+00:00,269.81298828125,269.8399963378906,269.55999755859375,269.6600036621094,50911,AAPL
